"AÑO","CODIGOOBJETODELGASTO","CODIGOAUXILIAR","NOMBREOBJETODELGASTO","CODIGOGRUPO","CODIGOSUBGRUPO"
2012,578,17,"Reintegro Gastos sepelio",5,7
2012,578,18,"Reintegro Aporte P.J.",5,7
2012,578,19,"Contribución Anep a docentes p/compra computadora P.Ceibal",5,7
2012,578,20,"Subsidio transitorio por incapacidad parcial-MI",5,7
2012,578,21,"Ayuda Alimentaria Pensiones no contrib.por vejez o invalidez",5,7
2012,578,97,"Canasta Fin de Año",5,7
2012,578,98,"c/SICE-Gts.Prom.yBn.Social VsSinDiscr./EMP.Púb.",5,7
2012,578,99,"Gastos Prom.y Bienestar Social VsSinDiscr./EMP.Púb.",5,7
2012,579,0,"Otras",5,7
2012,579,1,"Contribuciones Deportiv., Artístic., Cultural. y Atenc.Salud",5,7
2012,579,2,"Premio Camara De Senadores",5,7
2012,579,3,"Devolución Haberes S.R.P.Militares",5,7
2012,579,4,"Beneficio Serv.Tutela MDN(fúnebre,prótesis,guard.,hogar anc)",5,7
2012,579,5,"Traslado docentes",5,7
2012,579,6,"Beneficio en especie",5,7
2012,579,7,"Por distribución de producido decomisos",5,7
2012,579,8,"Repar.Func.Policial  fallecido acto p/VIVIENDA",5,7
2012,579,9,"Regularizac.Aux.Serv. Comisiones de Fomento",5,7
2012,579,10,"Premios de Literatura",5,7
2012,579,11,"Func.sit.retiro MDN, sentencia: reintegro p/equipo reglam.",5,7
2012,579,12,"Premios Lotería Fiscal",5,7
2012,579,13,"Ingreso ciudadano",5,7
2012,579,14,"Subs boletos estudiantes para Mont e Interior (area urbana)",5,7
2012,579,15,"Gastos Asist.Prog.Salud Bucal Escolar",5,7
2012,579,16,"NO VIG. ver objetos 513/025 y 525/001a003",5,7
2012,579,17,"Devolución expensas carcelarias",5,7
2012,579,18,"Premios Lucha Antidrogas y Lavado Activos",5,7
2012,579,19,"""Mesadas - INAU""",5,7
2012,579,20,"Premios al Reconocimiento Funcional-Policial",5,7
2012,579,21,"Tarjeta alimentaria a hogares c/ingresos menores a 1.25 CBA",5,7
2012,579,22,"Licitación leche fortificada en hierro",5,7
2012,579,23,"Transferencia a INAU p/desempeño de Niños Cantores",5,7
2012,579,24,"Programa Acogimiento Familiar INAU",5,7
2012,579,25,"Subvención A.6to L 18.846 Literal B",5,7
2012,581,0,"Transferencias  Corrientes A Organismos Internacionales",5,8
2012,581,1,"Cuotas Anuales Afiliac.Organismos Internacionales",5,8
2012,581,3,"Convenio Coop.Tecnica-Procisur",5,8
2012,581,4,"Conv.Fort.En Materia Sanidad Vegetal",5,8
2012,581,5,"Contribucion Fao",5,8
2012,581,6,"Fomin Fondo Multilateral De Inversion",5,8
2012,581,7,"Conv./Proy.entre Incisos y Org.Internacionales:PNUDE, IICA,.",5,8
2012,581,8,"Mantenimiento de Sede de MERCOSUR",5,8
2012,581,9,"Cuotas adeudas ej.anters.MGAP a FAO",5,8
2012,581,10,"Fondo de Controversias del MERCOSUR",5,8
2012,581,11,"Fondo Multilateral de Inversiones II (FOMIN II) Ley 18866",5,8
2012,581,12,"Fondo Regional de Tecnología Agropecuaria (FONTAGRO)",5,8
2012,582,0,"Transferencias Corrientes A Gobiernos Extranjeros",5,8
2012,583,0,"Transferencias De Capital  A Organismos Internacionales",5,8
2012,584,0,"Transferencias De Capital A Gobiernos Extranjeros",5,8
2012,589,0,"Otras Transferencias Al Exterior",5,8
2012,591,0,"Otras Transferencias Corrientes",5,9
2012,591,5,"Dleg.Ur.C.Mixta P/Des.Cue.Laguna Merin",5,9
2012,591,7,"HidrovÍa Paraguay-Paraná",5,9
2012,591,9,"Fdo.Apoyo Coop.Tecnica Econ.Internac.",5,9
2012,591,10,"Fdo.Apoyo Coop.Tec.Int.C.Nal.Prop.Ind.",5,9
2012,591,11,"Fondo Agropecuario de Emergencias",5,9
2012,591,12,"Fondo de Garantìa IAMC",5,9
2012,591,14,"Comité Nacional de Calidad",5,9
2012,591,16,"Sistema Nacional de Emergencia.",5,9
2012,591,17,"Instituto Nacional de Carnes",5,9
2012,591,18,"Fondo Reintegro de impuestos a turistas",5,9
2012,592,0,"Otras Transferencias De Capital",5,9
2012,592,1,"Comision Pro-Remodelacion H.Maciel",5,9
2012,592,2,"Sistema Nacional de Emergencia",5,9
2012,599,0,"Otras Transferencias no icluidas en los grupos anteriores",5,9
2012,599,1,"Partida Anual Apoyo Sectores Sociales Críticos",5,9
2012,599,3,"Transferencia Nuevo Banco Comercial SA",5,9
2012,599,4,"Convenio Marco MEF-Instituciones de Enseñanza",5,9
2012,599,5,"Fideicomiso de Aeronaves Ley Nº 18931",5,9
2012,611,0,"Intereses y Gastos de Letras de Tesoreria",6,1
2012,612,0,"Intereses y Gastos de Bonos del Tesoro",6,1
2012,613,0,"Intereses y Gtos.de Obligaciones Negoc. de Institucion Finan",6,1
2012,614,0,"Intereses y Gtos. de Obligaciones Negocia.de Instit. No Fina",6,1
2012,615,0,"Intereses de Proveedores",6,1
2012,616,0,"Recargo Financiero",6,1
2012,617,0,"Diferencia p/paridad monet.(no incorpor.costo:bs,serv,etc)",6,1
2012,618,0,"Intereses Bonos Hipotecarios-BHU",6,1
2012,619,0,"Intereses y Gastos de Otros Docum.de Deuda Interna",6,1
2012,621,0,"Intereses y Gtos.de Préstamos Internos Conced.por Empr.Finan",6,2
2012,622,0,"Intereses y Gtos.dePréstamos Internos Conc.por Empr.no Finan",6,2
2012,623,0,"Intereses y Gtos.dePrést. Internos Conc.por Instit. Priv.Fin",6,2
2012,624,0,"Intereses y Gtos.de Prést.Internos Conc. por Inst.Priv.noFi",6,2
2012,625,0,"Intereses y Gtos.de Prést.Internos Conc.por la Adm.Central",6,2
2012,626,0,"Intereses y Gtos.de Prést.Internos Conc.por Instit.deSeg.Soc",6,2
2012,627,0,"Intereses y Gtos. De Prestamos Internos  Conc. Por Gobiernos",6,2
2012,628,0,"Intereses y Gtos. De Prest. Internos Conc. Por Instit. Desce",6,2
2012,629,0,"Intereses y Gastos De Prestamos Internos  Concedidos Por Pro",6,2
2012,631,0,"Intereses Y Gastos De Letras De Tesoreria",6,3
2012,632,0,"Intereses Y Gastos De Bonos Del Tesoro",6,3
2012,633,0,"Intereses Y Gtos. De Obligaciones Necociables De Institucion",6,3
2012,634,0,"Intereses Y Gtos. De Obligaciones Necociables De Instit. No",6,3
2012,639,0,"Intereses Y Gastos De Otros Documentos De Deuda Externa",6,3
2012,641,0,"Intereses y Gtos.de Préstamos Exter.Conc.por Organ. Multilat",6,4
2012,642,0,"Intereses y Gtos.de Préstamos Exter.Conc.por Gobiernos Extr.",6,4
2012,643,0,"Intereses yGtos.de Préstamos Exter.Conc.porInstit.Priv.Finan",6,4
2012,644,0,"Intereses yGtos.dePréstamos Exter.Conc.Por Instit.Priv.noFin",6,4
2012,645,0,"Intereses y Gastos de Préstamos Exter.Concedidos Por Prov",6,4
2012,683,0,"Comis. y Gastos por Canje de Deuda",6,8
2012,699,0,"Otros Intereses y Gastos no incluidos en los anteriores",6,9
2012,699,1,"Intereses BROU- Resolución PE 23/003-E 419 de 31/1/2003",6,9
2012,699,2,"Interes.y Reajust.por Préstam.de AFAPS a Pasivos.Dto/43/03",6,9
2012,711,0,"Sentencias Judiciales A52 L17930",7,1
2012,712,0,"Catástrofes",7,1
2012,713,0,"Acontecimientos Graves o Imprevistos",7,1
2012,714,0,"Acuerdo o Convenio Judicial",7,1
2012,721,0,"Gastos Extraordinarios",7,2
2012,721,1,"Gastos Extraordinarios en el exterior - no incluidos en SICE",7,2
2012,722,0,"Honores Fúnebres Ley 14.458",7,2
2012,731,0,"Gastos Confidenciales A71 L15809, A15 L16134 y A221 L16170",7,3
2012,741,0,"Refuerzo de Créditos Funcionamiento e Inversión",7,4
2012,741,1,"Refuerzo de créditos, Inversiones25% inc.3Art.41L17930",7,4
2012,741,2,"Ref. créditos, Increm. Partidas Estimativas(s/disps.legales)",7,4
2012,742,0,"Refuerzos De Partidas Para Contrat. Retribuciones Personales",7,4
2012,742,1,"Asig.5% Retrib.Tec.p/Contr.Téc.",7,4
2012,742,2,"Partida p/contr.Inc2al14",7,4
2012,742,3,"NO VIGENTEPartida p/recup.salarial Inc.2 a 27 excl. Inc.16PJ",7,4
2012,749,0,"Otras Partidas a Reaplicar",7,4
2012,749,1,"Econ.Ref.Estado Fortalecim.Capacidad de Gestión D468/997A12",7,4
2012,749,2,"Partida Global para Gastos Corrientes",7,4
2012,749,3,"Partida Global para Suministros y Arrendamientos",7,4
2012,749,4,"Partida Funcionamiento División Sistemas CGN A167 L14416",7,4
2012,749,5,"Partida a Reaplicar- Fdo.Reconv.Sector Azucarero L17379",7,4
2012,749,6,"Partida a Reaplicar- Fdo.Reconstru.y Fomento Granja A1L17503",7,4
2012,749,7,"Partida a Reaplicar- Prog. de Transformación OPP A456 L17930",7,4
2012,749,8,"Partida a Reaplicar-Prog. de Transformación ONSC A457 L17930",7,4
2012,749,9,"Partida a Reaplicar-Prog. de Transformación URSEA",7,4
2012,749,10,"Part.Prog.Fort.Pract.Segura DeporBoxeo Jóv.""knock aut droga""",7,4
2012,749,11,"Partida a Reaplicar- derogación de rentas afectadas",7,4
2012,749,12,"Partida a Reaplicar ""Fdo Desarrollo Artist y Cultural SODRE""",7,4
2012,749,99,"Partidas Globales a reaplicar en los Proyectos de Inversión",7,4
2012,751,0,"Abatimiento de crédito de Gastos e Inversiones Inc.2 al 14",7,5
2012,751,1,"Abatimiento de créditos de funcionamiento",7,5
2012,751,4,"Abat.créditos inversión Arts.646 y 647 L17296",7,5
2012,771,0,"Cuentas Incobrables",7,7
2012,772,0,"Pérdida de Inventarios",7,7
2012,773,0,"Autoseguro",7,7
2012,774,0,"Pédidas en Operaciones Cambiarias",7,7
2012,775,0,"Pérdida en Venta de Activos",7,7
2012,775,1,"Pérdida por Venta Activo- Capital Accionario Bancos",7,7
2012,775,8,"Pérdida por Subrogación- PréstamoRecib.por Bancos Nacionales",7,7
2012,776,0,"Otras Pérdidas de la Operación",7,7
2012,777,0,"Otras Pérdidas Ajenas a la Operación",7,7
2012,778,0,"Reservas Técnicas",7,7
2012,779,0,"Otras Pérdidas No Incluídas en los Grupos Anteriores",7,7
2012,791,0,"Gastos de Ejercicios Anteriores",7,9
2012,792,0,"Gastos Financieros EJ.ANTERIORES Inc.2al 27",7,9
2012,792,1,"Ej.Ant.a1/1/2003.A81L17556(p/Recarg.vr.prec./p.monA76L15809)",7,9
2012,792,2,"Interes mora, EJERCICIOS ANTERIORES Fin11y12 A 77 L15.809",7,9
2012,793,0,"Indemnizaciones",7,9
2012,793,1,"Pasivos Militares- Indemnización- L17.949/A6º",7,9
2012,793,2,"Pescadores damnificados por la veda-L18259/A2y3°",7,9
2012,793,3,"Reparac.víctimas por actuación ilegítima del Estado",7,9
2012,794,0,"Gastos en el exterior",7,9
2012,794,1,"Gastos de manten.y reparaciones en  el exterior",7,9
2012,794,2,"Gastos de Etiqueta",7,9
2012,794,3,"Ayuda de Vivienda MRREE y DGComercio",7,9
2012,799,0,"Otros Gastos No Clasificados",7,9
2012,799,1,"Fondo Anual Investigaciones Industriales  A301L16736",7,9
2012,799,2,"Fondo Anual Competitividad Industrial A304L16736",7,9
2012,799,4,"Gastos no clasif.Org.e Inst fuera Pto.Nal.D393/004 -SICE",7,9
2012,811,0,"Amortizacion De Letras De Tesoreria",8,1
2012,812,0,"Amortizacion De Bonos Del Tesoro",8,1
2012,813,0,"Amortizacion De Obligaciones Negociables De Instit. Financie",8,1
2012,814,0,"Amortizacion De Obligaciones Negociables De Instit. No Finan",8,1
2012,815,0,"Amortizacion Bonos Hipotecarios-BHU",8,1
2012,819,0,"Amortizacion De Otros Documentos De Deuda Interna",8,1
2012,821,0,"Amortizacion De Prest. Int. Conc. Por Emp. Publicas Financie",8,2
2012,821,1,"Amortización BROU-Plan Nacional de Silos",8,2
2012,822,0,"Amortizacion De Prest. Int.Conc. Por Empresas Pub. No Finan.",8,2
2012,823,0,"Amortizacion De Prest. Int. Conc. Por Instit. Privadas Finan",8,2
2012,824,0,"Amortizacion De Prest. Int. Conc. Por Instit. Privadas No Fi",8,2
2012,825,0,"Amortizacion De Prest. Int. Conc. Por La Adm. Central",8,2
2012,826,0,"Amortizacion De Prest. Int. Conc. Por Instit. De Seguridad S",8,2
2012,827,0,"Amortizacion De Prest. Int. Conc. Por Gob. Departamentales",8,2
2012,828,0,"Amortizacion De Prest. Int. Conc. Por Instit. Descentralizad",8,2
2012,829,0,"Amortizacion De Prest. Internos Concedidos Por Proveedores",8,2
2012,831,0,"Amortizacion De Letras De Tesoreria",8,3
2012,832,0,"Amortizacion De Bonos Del Tesoro",8,3
2012,833,0,"Amortizacion De Obligaciones Negociables De Instit. Finan.",8,3
2012,834,0,"Amortizacion De Obligaciones Negociables De Instit. No Finan",8,3
2012,839,0,"Amortizacion De Otros Documentos De Deuda Externa",8,3
2012,841,0,"Amortizacion De Prest. Externos Conc. Por Org. Multilaterale",8,4
2012,842,0,"Amortizacion De Prest. Externos Conc. Por Gob. Extranjeros",8,4
2012,843,0,"Amortizacion De Prest. Externos Conc. Por Instit. Priv. Fina",8,4
2012,844,0,"Amortizacion De Prest. Externos Conc. Por Instit. Priv. No F",8,4
2012,845,0,"Amortizacion De Prest. Externos Concedidos Por Proveedores",8,4
2012,851,0,"Conversión De La Deuda",8,5
2012,861,0,"Gastos Liquidados  No Pagados por Servicios Personales",8,6
2012,861,1,"Gastos L.No P. por Serv.Pers.Fdos.Act.Prop.-Libre Disp.Ej.99",8,6
2012,862,0,"Gastos Liquidados  No Pagados por Gastos",8,6
2012,862,1,"Gastos L.No P.por Gastos Act.Prop.Fdos-Libre Disp.Ej.99",8,6
2012,863,0,"Gastos Liquidados  No Pagados por Transferencias",8,6
2012,863,1,"Gastos L.No P.por Transferencias Fdos.Act.Propia-L.Disp.E99",8,6
2012,864,0,"Gastos Liquidados  No Pagados por Inversiones",8,6
2012,864,1,"Gastos L.No P.por Inversiones Fdos.Activ.Prop-L.Disp.E.99",8,6
2012,865,0,"Gastos Liquidados  No Pagados por Servicio de la Deuda",8,6
2012,865,1,"GastosL.No P.por Serv. de la DeudaFdos.Act.Prop.-L.Disp.E99.",8,6
2012,866,0,"Gastos Liquidados No Pagados por InversionesServ.Personales",8,6
2012,866,1,"Gastos L.No P.por InversionesServ.Pers. Fdos.A.P.-L.Disp E99",8,6
2012,869,0,"Otros Gastos Liquidados  No Pagados",8,6
2012,891,0,"Otras Amortizaciones De Deuda",8,9
2012,899,0,"Otras Amortizaciones no incluidas en las anteriores",8,9
2012,911,0,"Para solventar Gastos Corrientes",9,1
2012,911,2,"Versión a R.Grales.Cargos-Contratac.Personal F12 A303L17296",9,1
2012,911,3,"Versión RRGG 10%s/propag.publ.o inf.Inc.25,26y27 A289L17296",9,1
2012,911,5,"VersiónRRGG- Retiro.A10L17556/retrib.otras Fin.,cod.ret.169",9,1
2012,911,6,"NO VIG.Vers.RRGG-Disponib.otra.financ.p/Sent.Jud.A31(r.121)",9,1
2012,911,7,"Versión RRGG Cont.de Trab.a Term.Fin.dist. a F.11 a.39L17556",9,1
2012,911,8,"Para compensar al FNV p/reducción recaud.inc.2doA1L17706",9,1
2012,911,9,"Versión a RRGG Régim.redist.de func.D151/003",9,1
2012,911,10,"Refleja deuda generada ejs. anteriores contr.func.púb.F1.2",9,1
2012,911,11,"NO VIGENTE Fondo MEF Art.1º Dec-120/006",9,1
2012,911,12,"Subvención F.N.V. Pasivos",9,1
2012,911,13,"Subvención F.N.V.Activos",9,1
2012,911,14,"Subvención INAU",9,1
2012,911,15,"Subvención Ministerio de Turismo y Deporte",9,1
2012,911,16,"Subvención Ministerio de Salud Pública",9,1
2012,911,17,"Subvención Direc.Nal. de Bomberos",9,1
2012,912,0,"Para solventar Gastos de Capital",9,1
2012,913,0,"Para solventar Aplicaciones Financieras",9,1
2012,913,1,"Versión RRGG EcoExced.con otras Fin. A725y726L16736 D122/97",9,1
2012,913,2,"Versión RRGG de otras Fins.distintas a 11",9,1
2012,913,3,"Versión RRGG de financiacion distinta a 11 (art.27 L.18.172)",9,1
2012,913,4,"Versión RRGG de financiacion distinta a 11 (art.55 L.18.719)",9,1
2012,921,0,"Para solventar Gastos Corrientes",9,2
2012,921,1,"ANEP imp.primaria s/inm.rural/1994(IMEBAeIRA)- in2A636L15809",9,2
2012,922,0,"Para solventar Gastos de Capital",9,2
2012,923,0,"Para solventar Aplicaciones Financieras",9,2
2013,11,0,"Sueldo básico de cargos",0,1
2013,11,300,"Sueldo del Grado",0,1
2013,12,0,"Incremento por mayor horario permanente",0,1
2013,13,0,"Dedicación total",0,1
2013,14,0,"Compensación máxima al grado",0,1
2013,15,0,"Gastos de representación en el país con aportes",0,1
2013,16,0,"Gastos de representación en el país 0%aportes",0,1
2013,21,0,"Sueldo básico de funciones contratadas",0,2
2013,21,300,"Sueldo del grado de funciones contratadas",0,2
2013,22,0,"Incremento por mayor horario permanente",0,2
2013,23,0,"Dedicacion total",0,2
2013,24,0,"Compensación máxima al grado",0,2
2013,31,0,"Retribuciones zafrales y temporales",0,3
2013,31,1,"ASSE-Funcionarios  A.410 L.16170",0,3
2013,31,3,"ASSE-Eventuales  A.410 L.16170",0,3
2013,31,4,"Contrato Temporal de Derecho Público A.53 L.18719",0,3
2013,31,5,"Contrato artistico A.52 L.18719",0,3
2013,31,6,"Contrato Laboral A.54 L.18719",0,3
2013,31,7,"Regimen Provisoriato A.50 L.18719",0,3
2013,31,8,"Encuestadores Temporales del INE",0,3
2013,32,0,"Retribuciones de técnicos",0,3
2013,33,0,"Técnicos contratados c/func.alta prioridad",0,3
2013,34,0,"Contratados",0,3
2013,35,0,"Retribución cuidadores",0,3
2013,36,0,"Reincorporados y postergados A.9 L.15783",0,3
2013,37,0,"Suplencias",0,3
2013,38,0,"Personal alta especializacion estratégica A.714-716 L.16736",0,3
2013,39,0,"Junta Asesora  Ec.y Finan.A4L17060, URSEA y URSEC A5L17598",0,3
2013,41,0,"Sueldos progresivos",0,4
2013,41,1,"Sueldos progresivos-TCA Art.169 Ley16.462",0,4
2013,41,2,"Permanencia en el grado escalafón policial",0,4
2013,41,3,"Permanencia en el grado escalafón militar",0,4
2013,41,4,"Diferencia de ascenso a oficial-MDN(inc.final art7L14800)",0,4
2013,41,6,"Prima por permanencia en el cargo  A2L11021",0,4
2013,41,7,"Progresivos p/antigüedad docente-UDELAR (Univ. Rep. L12549",0,4
2013,41,8,"Diferencia de pasividad militar a reincorporados A184L14157",0,4
2013,42,0,"Compensaciones",0,4
2013,42,1,"Compensaciones congeladas",0,4
2013,42,2,"Compensación diaria por permanencia",0,4
2013,42,3,"Compensación al cargo escalafon policial",0,4
2013,42,4,"Retribución Complementaria obreros y encargados S.C.R.A.",0,4
2013,42,5,"Compensación Personal Superior-MI  L.16.170 A.148",0,4
2013,42,6,"Compensación Personal Subalterno Ejecutivo L.16.170 A.154",0,4
2013,42,7,"Compensación Personal no Ejecutivo L.16.170 A.161",0,4
2013,42,8,"Compensación Personal Ejecutivo Grado 7 a 14 L.16170 A.163",0,4
2013,42,9,"Compensación retribuir oblig.permanenciaA118L16320e inc.1y2A",0,4
2013,42,10,"Prima técnica, con aportes MD (MIsin aportes)",0,4
2013,42,11,"Compensación riesgo de Función Art.141 Ley 16.736",0,4
2013,42,12,"Compensación al cargo escalafón militar",0,4
2013,42,13,"Compensación por dedicacion especial",0,4
2013,42,14,"Compensación por permanencia a la orden",0,4
2013,42,15,"Compensación por asiduidad",0,4
2013,42,16,"Dedicación exclusiva",0,4
2013,42,17,"Compensación por alimentación (Rancho efectivo)",0,4
2013,42,18,"Compensaciones específicas s/disposiciones marco normativo",0,4
2013,42,19,"Compensación por riesgo de vuelo",0,4
2013,42,20,"Compensación personal p/mantenimiento nivel retribributivo",0,4
2013,42,22,"Compensación mensual L.16.226 A.53",0,4
2013,42,23,"Compensación riesgo especial",0,4
2013,42,24,"Compensación Adicional del 30%sobre sueldos funcionarios MDN",0,4
2013,42,25,"Prima técnica (Suboficial,Mayor,Sargento1ros.)L.16.226 A.54",0,4
2013,42,26,"Compensación docente",0,4
2013,42,27,"Compensación docente acumulable",0,4
2013,42,28,"Retribuciones especiales Docentes UDELAR",0,4
2013,42,31,"Retribución encargados pluviométricos-MDN",0,4
2013,42,32,"Aumento sueldo p/actividad.-ANEP-A2 L11021/A577-L.16736",0,4
2013,42,33,"Retribución complementaria, funciones fuera de residencia",0,4
2013,42,34,"Remuneraciòn complementaria por funciones distintas al cargo",0,4
2013,42,35,"Por desempeño de actividades insalubres",0,4
2013,42,37,"Fondo 5% Ley 16.170 Art.169",0,4
2013,42,38,"Compensación personal transitorias, se absorbe con ascenso",0,4
2013,42,39,"Tareas inspectivas",0,4
2013,42,40,"Asistencia directa al menor",0,4
2013,42,41,"Compensación mensual funcionarios del MSP L.16.226 A.278",0,4
2013,42,42,"Compensación choferes",0,4
2013,42,44,"Compensación Personal  A9 L16462(derg.A15L17296)",0,4
2013,42,45,"Compensación 30% p/tareas Dpto. Médico Forense-A472 L16736",0,4
2013,42,46,"Compensación distribución Fondo de Participación",0,4
2013,42,49,"Compensación por atención directa pacientes",0,4
2013,42,50,"Compensación por tareas en Salas de Seguridad L 15903 A.255",0,4
2013,42,51,"Compensación p/asesoramiento directo-Inc.02 A80 L16736",0,4
2013,42,52,"Adecuación de retribuciones c/recursos DNLQ A176L16.320",0,4
2013,42,53,"Compensación funcionarios DGIA - inc4A106L17296",0,4
2013,42,54,"Compensación 30% operativa aeroportuaria MDN L.16.226 A.91",0,4
2013,42,55,"Compensación 30% retrib.personal DGIA A118L16170yA92L16226",0,4
2013,42,56,"Incremento 30% a funcionarios-TCA -L.16.320 A.415",0,4
2013,42,57,"Aumento 30% funcionarios-P.J. A390L16320yA150L1646",0,4
2013,42,58,"Retribucion adicional según escala L.16.320 A.392",0,4
2013,42,59,"Compensación prima personal policial-MI L.16333 A.21",0,4
2013,42,60,"Compensación mensual 6,95% funcionarios ASSE L.16.462 A.103",0,4
2013,42,61,"Compensación mensual s/escala MSP L.16.462 A.103",0,4
2013,42,63,"Compensación mensual-INAME L.16.462 A.215",0,4
2013,42,64,"Compensación mensual porcentual- INAME L.16.462 A.216",0,4
2013,42,65,"Retribución porcentual -Corte Electoral- L.16.462 A.163",0,4
2013,42,66,"Compensación extraordinaria personal obrero - MTOP",0,4
2013,42,67,"Compensensación mensual p/equipo-L16462:A28MDN y inc.3A36MI",0,4
2013,42,68,"Compensación 15%-Serv. Informáticos -T.C.A L.16.462 A.174",0,4
2013,42,70,"Planificación desarrollo p/el Sector Público Art.90 L.16736",0,4
2013,42,71,"Partidas asignadas funcionarios-INAME Arts. 597 y 617 L16736",0,4
2013,42,73,"Servicios de pagaduria de Alquileres Dec706/87art.5 inc3",0,4
2013,42,74,"Partida p/elaboración Pto y Rendición Cuentas A.100 L.15903",0,4
2013,42,75,"Compensación personal excedentario",0,4
2013,42,77,"Trabajos extraordinario-MVOTMA L.16.170 A.446 L.16736 A456",0,4
2013,42,78,"Compensación Fiscal de Corte y Procurador General Nación",0,4
2013,42,79,"Compensación  funcionarios UDELAR",0,4
2013,42,80,"Retribución Jueces Militares situación retiro.A.168 L.15809",0,4
2013,42,81,"Guardias médicas",0,4
2013,42,82,"Diferencia por superar equiparación",0,4
2013,42,84,"INAME-  A.603 Ley16736 y Res.31/12/96",0,4
2013,42,85,"Compensación retribución situación p/Reestructara o Ptación.",0,4
2013,42,86,"Compensación por reestructura reforma del Estado - MSP",0,4
2013,42,87,"Incentivo al rendimiento L16170 A19",0,4
2013,42,88,"Compens. desemp.secretar./asesoram.pers.espec.",0,4
2013,42,90,"Mayor Resp.y Espec.Ref.Estado. D468/97A12litC)1;(042102)",0,4
2013,42,91,"Jefes y Edecanes Casa Militar",0,4
2013,42,93,"Prima Técnica,  sin aportes.",0,4
2013,42,94,"Prima Técnica Altos Ejecutivos",0,4
2013,42,96,"Complemento Adscrip. 85%del titular- A8 y9L16320(reg.042034)",0,4
2013,42,98,"Compens.a la persona c/crédito p/economías PJ 465 L17296",0,4
2013,42,100," Distrib.part.reest.Esc.II(no equip) al VI-PJ  i2A458L17296",0,4
2013,42,101,"Comp.pers.trans.(no)absorbe c/n asc,var.t.suel",0,4
2013,42,102,"Compensación (origen 042/090) - A4 L17904",0,4
2013,42,103,"Mayor Resp.y espec. Esc.K-MDN Dto474/005 y CGN 12/01/06",0,4
2013,42,104,"Compensación Esc.L -MI -Artículo 86 Ley 18046",0,4
2013,42,105,"Compensación Personal Transitoria A.7 Ley 17.930",0,4
2013,42,106,"Compensación Personal Func.DGI redistribuidos",0,4
2013,42,107,"Diferencia de Retribución",0,4
2013,42,108,"Comp.Directores Hospitales,Institutos y Centros de Salud",0,4
2013,42,109,"Contribución comisiones de apoyo -A104 L18046 24/10/2006",0,4
2013,42,110,"Prima técnica c/aportes",0,4
2013,42,111,"Riesgo de función c/aportes",0,4
2013,42,112,"Servicio de vigilancia s/aportes",0,4
2013,42,113,"Servicio de vigilancia c/aportes",0,4
2013,42,114,"Reintegro aportes por cambio de rég.aportes-Serv.Vig.MI",0,4
2013,42,115,"Reintegro aportes por cambio de rég.aportes-MI",0,4
2013,42,116,"Compensación p/Especialidades Médicas-MI",0,4
2013,42,117,"Compensación por carga horaria superior a 12hs sem",0,4
2013,42,118,"Compensación por asiduidad-NO anestésico-quirúrg.-MI",0,4
2013,42,119,"Compensación por asiduidad-anestésico-quirúrg.-MI",0,4
2013,42,120,"Compensación por niveles de Conducción y Dirección-MI",0,4
2013,42,121,"Compensación por asiduidad-técnicos-MI",0,4
2013,42,122,"Compensacion por asignación de funciones",0,4
2013,42,123,"Funciona.Otr.Inc.Comisión o del Inc.p/tarea extrA.562 L18719",0,4
2013,42,124,"Compensación p/licencia antiguedad pers.obrero UE005 MTOP",0,4
2013,42,125,"Prima Seguridad Perimetral Estab.Carcelarios MDN A85L18046",0,4
2013,42,400,"Compensación al Cargo",0,4
2013,42,401,"Compensación al cargo Escalaf.A y D equiparados Escalaf.I PJ",0,4
2013,42,410,"Compensación al cargo especial",0,4
2013,42,411,"Compensación al cargo especial SIMPLI Inciso 04",0,4
2013,42,412,"Compensación al cargo SIMPLI Inciso 04",0,4
2013,42,500,"Compensación Especial",0,4
2013,42,510,"Compensación especial por funciones especiales",0,4
2013,42,511,"Comp. especial por funciones especialm.encom. (discrecional)",0,4
2013,42,512,"Compensación alim.-Inc.02",0,4
2013,42,513,"Compensación especial  (discrecional)",0,4
2013,42,514,"Compensación especial mayor responsabilidad p/Provisoriatos",0,4
2013,42,515,"Diferencia por aumento especial MSP",0,4
2013,42,516,"Compensación personal UCA",0,4
2013,42,517,"Compensación p/tareas espec.mayor respons.y horario variable",0,4
2013,42,518,"Compensación a la función cargo SIRO",0,4
2013,42,519,"Compensación Adscriptos calidad func.públicoA57L18719",0,4
2013,42,520,"Compensación especial por cumplir condiciones específicas",0,4
2013,42,521,"Compen.especial p/cumplir condiciones específ.(discrecional)",0,4
2013,42,522,"Diferencia a Tabla",0,4
2013,42,523,"Fondo participación 100% y Calificación sobre antigüedad",0,4
2013,42,524,"Dedicación exclusiva (SIRO)",0,4
2013,42,525,"Comp.especial p/cumplir condic.especificas discrec MRREE",0,4
2013,42,526,"Compensaciòn especial c/funciones en Cancillería-A166 L18172",0,4
2013,42,527,"Compensación Negociadores comerciales A167 L18172",0,4
2013,42,528,"Compensación especial func.SCRA",0,4
2013,42,529,"Diferencia al mínimo por escalafón",0,4
2013,42,530,"Comp.especial p/horario dia habil,nocturno o días inhábiles",0,4
2013,42,531,"Compensación sujeta a Compromisos de Gestión",0,4
2013,42,532,"Fondo para Mínimo Salarial",0,4
