APcodigo,"apNombre",programaCodigo,"nombre","Objetivo","Alcance"
14,"SEGURIDAD PÚBLICA",460,"Prevención y represión del delito","Desarrollar estrategias para la prevención y represión del delito","Incluye todas las actividades destinadas a evitar y detener delitos, así camo a auxiliar a la justicia en su investigación, mantener la seguridad y la convivencia no violenta. Abarca las contribuciones del Ministerio del Interior, Armada y Prefectura Nacional (ámbitos marítimo y fluvial) y Fuerza Aérea (aeropuertos y espacio aéreo).  No comprende actividades relacionadas a la prisión y rehabilitación de personas condenadas por la justicia, ni la contribución de Policía Nacional (a través de Policía Caminera) a la seguridad vial."
14,"SEGURIDAD PÚBLICA",461,"Gestión de la privación de libertad","Efectuar la custodia y promover la rehabilitación de quienes se hallan privados de libertad","Incluye todas las actividades dedicadas a garantizar la custodia, promover la rehabilitación, asegurar la cobertura de necesidades básicas y el ejercicio de otros derechos de las personas privadas de libertad, así como de aquellas que cumplen medidas penales alternativas a la privación de libertad. Es decir, atiende a la población carcelaria adulta, a adultos con medidas alternativas de privación de libertad, y a adolescentes que se encuentran bajo la custodia de INAU (SIRPA). También incluye, la cobertura de salud brindada por ASSE a ambos grupos y la colaboración de las FF.AA a la seguridad perimetral de los establecimientos carcelarios."
14,"SEGURIDAD PÚBLICA",462,"Seguridad vial","Desarrollar estrategias que contribuyan a garantizar la segura movilidad de la población","Apunta a garantizar la circulación segura de la población en rutas y caminos de jurisdicción nacional. Incluye los esfuerzos de elaboración y fiscalización del cumplimiento de normas de tránsito, así como los planes para diseñar rutas y caminos más seguros, regulación y control de la señalización e iluminación."
14,"SEGURIDAD PÚBLICA",463,"Prevención y combate de fuegos y siniestros","Desarrollar estrategias preventivas y de acción frente a siniestros","Incluye actividades y proyectos para disminuir el riesgo y los daños de incendios y auxiliar a la justicia en la determinación de responsabilidades, cuando corresponda. También las actividades de defensa civil tendientes a prevenir accidentes causados por el hombre y/o minimizar los efectos negativos de accidentes naturales sobre la población, como inundaciones, temporales, etc. Abarca las contribuciones que realizan en tal sentido Bomberos y las Fuerzas Armadas."
15,"SERVICIOS PÚBLICOS GENERALES",480,"Ejecución de la Política Exterior","Posicionar  al país en el exterior a través de una presencia activa en el ámbito internacional.",""
15,"SERVICIOS PÚBLICOS GENERALES",481,"Política de Gobierno","Determinación y aplicación de la política de gobierno",""
15,"SERVICIOS PÚBLICOS GENERALES",482,"Regulación y Control","Regulación, control, fiscalización y autorización de los servicios de energía, agua, comunicaciones y de actividades que utilizan radiaciones ionizantes.","Aplicación y diseño de reglamentos, otorgamiento de autorizaciones y permisos, asesoramiento al Poder Ejecutivo en la materia. Intervención y sanción de infracciones o incumplimientos respecto a las licencias o autorizaciones de servicios. Control de la utilización de los sistemas y recursos escasos, calidad y eficiencia."
15,"SERVICIOS PÚBLICOS GENERALES",483,"Políticas de RRHH","Determinación y aplicación de la política de gobierno relativa a RRHH",""
15,"SERVICIOS PÚBLICOS GENERALES",484,"Política de Gobierno Electrónico","Desarrollar políticas y promover, diseñar e implementar soluciones de Gobierno electrónico y de la Sociedad de la Información y el Conocimiento",""
15,"SERVICIOS PÚBLICOS GENERALES",485,"Registro Cívico y Justicia Electoral","Garantizar la legitimidad y la pureza de los actos y procedimientos electorales, de plebiscito y referéndum conforme a las disposiciones constitucionales y legales, en particular preservar el Registro Cívico Nacional",""
15,"SERVICIOS PÚBLICOS GENERALES",486,"Cooperación Internacional","Potenciar las capacidades de coordinacion, diseño, gestión, monitoreo, evaluación y de la oferta y demanda de cooperacion internacional del país alineadas con las prioridades nacionales de desarrollo",""
15,"SERVICIOS PÚBLICOS GENERALES",487,"Políticas Públicas con enfoque de DDHH","Promover e impulsar la coordinación de los agentes estatales y la participación social, para la formulación, ejecución y evaluación de las políticas públicas con enfoque de derechos humanos",""
15,"SERVICIOS PÚBLICOS GENERALES",488,"Administración Financiera","Determinar y aplicar las políticas de Adminstración Financiera, incluyendo el registro, pago y control de la ejecución del Presupuesto Nacional",""
15,"SERVICIOS PÚBLICOS GENERALES",489,"Recaudación y Fiscalización","Asegurar la recaudación de los recursos del Estado y fiscalizar el tránsito de mercaderías en concordancia con la normativa aduanera vigente en el ámbito nacional e internacional",""
15,"SERVICIOS PÚBLICOS GENERALES",490,"Diseño y control de la Política Económica","Diseñar, implementar y realizar el seguimiento de la política económica, con énfasis en materia productiva, salarial, social, fiscal, tributaria y de gestión de deuda",""
15,"SERVICIOS PÚBLICOS GENERALES",491,"Regulación de los juegos de azar","Regular, administrar y controlar los juegos de azar",""
15,"SERVICIOS PÚBLICOS GENERALES",492,"Apoyo a los Gobiernos departamentales y locales","Apoyar a los gobiernos departamentales para implementar políticas de descentralización y desarrollo local.",""
15,"SERVICIOS PÚBLICOS GENERALES",815,"Personal excedentario de ejercicios anteriores","Cumplimiento del Art. 723 Ley 16.736","No corresponde la definición de Objetivos Institucionales para este Programa."
16,"TRABAJO Y EMPLEO",500,"Políticas de empleo","Impulsar políticas activas de empleo y formación profesional, promoviendo el diálogo social en torno a la creación de empleo, la mejora de su calidad y la empleabilidad de las personas",""
16,"TRABAJO Y EMPLEO",501,"Relaciones y condiciones laborales","Contribuir de manera armónica al desarrollo de las relaciones laborales, garantizando la determinación de las condiciones de trabajo, controlando que se cumplan y apliquen las disposiciones en materia laboral y seguridad, las que se coordinan e implementan en todo el territorio nacional",""
17,"VIVIENDA",520,"Programa Nacional de Realojos","Diseñar y promover un programa Nacional de Realojos dirigido a reubicar población que se encuentra en áreas no regularizables","Busca mejorar la calidad de vida de las familias ubicadas en terrenos inundables y/o contaminados mediante su relocalización, brindándoles oportunidades de acceso y permanencia en una vivienda digna, así como facilitando la incorporación de esas familias a las redes de protección social vigentes. Se ejecuta a través de convenios con las Intendencias, quienes presentan los proyectos de zonas que requieren relocalización."
17,"VIVIENDA",521,"Prog de Rehabilitación y Consolidación Urbano Habitacional","Desarrollar estrategias para la consolidación de barrios y la rehabilitación de áreas del tejido formal, localizadas en las periferias críticas de pueblos y ciudades de todo el país","Comprende todas las intervenciones que se realizan en viviendas y hábitat urbano. Entre ellas es posible destacar: construcción de viviendas nuevas en sus diversas modalidades (cooperativas, viviendas para pasivos, autoconstrucción en terreno privado o público, etc.), así como también las construídas a través del Plan Juntos; préstamos para adquisición de viviendas nuevas o usadas; refacciones, mejoras o ampliaciones de viviendas ya existentes.  Asimismo, están incluídos el análisis del crecimiento planificado de las ciudades en general; las estrategias para llevar adelante las relocalizaciones de familias vulnerables en terrenos inundables y contaminados, con la adecuación posterior del terreno; las soluciones provistas mediante el Programa de Mejoramiento de Barrios; y los instrumentos destinados a fomentar la participación de la inversión privada en la construcción de viviendas de interés social.  "
17,"VIVIENDA",522,"Programa de Actuación Integrada","Desarrollar estrategias y acciones que permitan el crecimiento planificado de las ciudades, mediante acuerdos interinstitucionales, público - privados para urbanizar  terrenos, integrando sectores sociales heterogéneos","Este programa se dedica a comprar y/o preparar terrenos que luego quedan disponibles para construir viviendas en alguna de las modalidades financiadas por otros programas presupuestales del AP Vivienda. La mayoría de los fondos son transferidos por el MVOTMA a la Agencia Nacional de Vivienda, según lo dispuesto por el art. 16 de la Ley 18.125. Con esos fondos ANV financia diferentes proyectos que buscan propiciar el crecimiento urbano planificado, mediante obras de infraestructura, fraccionamiento y preparación de los predios, etc. Tales proyectos son ejecutados mediante convenios con intendencias municipales y otros organismos públicos. A su vez, una pequeña porción de los créditos de este programa son ejecutados directamente por el MVOTMA y se dedican básicamente a la desafectación de terrenos propiedad de otros organismos públicos, que pasan a integrar la Cartera de Tierras para Viviendas de Interés Social administrada por DINAVI. "
17,"VIVIENDA",523,"Política Nac de Alquileres de Vivienda de Interés Social","Diseñar y promover una política de alquileres destinada a la vivienda de interés social","Mediante este programa se otorgan certificados de garantía de alquiler, con el fin de facilitar el acceso a la vivienda bajo esta modalidad. Asimismo, como forma de facilitar la permanencia en la vivienda, incluye el otorgamiento de subsidios transitorios por un monto pre-establecido, en los casos en que al inquilino no le sea posible hacer frente al pago del alquiler."
17,"VIVIENDA",524,"Vivienda Rural y pequeñas localidades","Contribuir a la construcción de un hábitat sostenible de la población que vive y/o trabaja en el medio rural, en el marco de las políticas de desarrollo integral (productivo, social, ambiental, territorial) del quinquenio","El programa financia la construcción de viviendas nucleadas y aisladas, unidades productivas (ej. instalaciones para tambos o galpones de pequeños productores) y mejoras en predios rurales. También financia mejoras  del stock existente de viviendas e infraestructuras rurales productivas."
17,"VIVIENDA",525,"Pol de incentivo a la inv priv en Vivienda de Interés Social","Desarrollar instrumentos de participación del ahorro privado y la inversión privada en producción de vivienda de interés social","Se propone aumentar el stock de viviendas de interés  social disponibles en el mercado incentivando la construcción privada.  Para ello el MVOTMA ha desarrollado varios instrumentos, como: incentivos tributarios a la construcción, creación de distintos tipos de fondos de garantía, subsidios a la cuota que pagan las familias compradoras, etc."
18,"ENERGÍA",540,"Generación, distribución y definición de la política energética","Coordinar las políticas a fin de garantizar el acceso adecuado a la energía para todos los sectores sociales, productivos y regiones del país.",""
